url_path,views_total,views_unique
/SuperDuperDB/superduperdb,25818,16388
/SuperDuperDB/superduperdb/blob/main/README_zh.md,2204,771
/SuperDuperDB/superduperdb/issues,1323,401
/SuperDuperDB/superduperdb/tree/main/superduperdb,1238,310
/SuperDuperDB/superduperdb/tree/main/examples,835,233
/SuperDuperDB/superduperdb/fork,759,357
/SuperDuperDB/superduperdb/pulls,662,105
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,438,147
/SuperDuperDB/superduperdb/stargazers,393,78
/SuperDuperDB/superduperdb/blob/main/docs/hr/static/img/superduperdb.gif,385,185
